profile_name,reach_right,reach_left,allocator,seed,total_time,repositions,unreachable,deliveries,strong_side_fraction,mean_handoff_excess,total_robot_distance,h_idle,r_idle,c_act,f_del
extreme,1.0,0.1,adaptive,1024,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,1729,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,2718,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,3141,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,6283,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,stigmergic,42,7.0,0,0,1,1.0,0.0,28.3954,0.995,0.0,0.005,0.0
extreme,1.0,0.1,stigmergic,137,7.0,0,0,1,1.0,0.0,22.1437,0.995,0.0,0.005,0.0
extreme,1.0,0.1,stigmergic,271,7.0,0,0,1,1.0,0.0,21.8548,0.995,0.0,0.005,0.0
extreme,1.0,0.1,stigmergic,314,7.0,0,0,1,1.0,0.0,18.9036,0.995,0.0,0.005,0.0
extreme,1.0,0.1,stigmergic,628,7.0,0,0,1,1.0,0.0,20.7747,0.995,0.0,0.005,0.0
extreme,1.0,0.1,stigmergic,1024,7.0,0,0,1,1.0,0.0,18.8595,0.995,0.0,0.005,0.0
extreme,1.0,0.1,stigmergic,1729,7.0,0,0,1,1.0,0.0,20.8125,0.995,0.0,0.005,0.0
extreme,1.0,0.1,stigmergic,2718,6.75,0,0,1,1.0,0.0,22.3836,0.9947,0.0,0.0053,0.0
extreme,1.0,0.1,stigmergic,3141,6.75,0,0,1,1.0,0.0,22.5829,0.9947,0.0,0.0053,0.0
extreme,1.0,0.1,stigmergic,6283,7.0,0,0,1,1.0,0.0,22.7249,0.995,0.0,0.005,0.0
